"Points:0","Points:1","Points:2","U_new:0","U_new:1","U_new:2","f"
1.9242,0.0042426,-6.7886e-19,0.8,-0.8,0,5.8765e-21
2.014,-0.089803,0.0051962,0.8,-0.8,0,5.8765e-21
1.9221,0.0021213,0.0051962,0.8,-0.8,0,5.8765e-21
2.0098,-0.094045,0.0051962,0.8,-0.8,0,5.8765e-21
1.9179,-0.0021213,0.0051962,0.8,-0.8,0,5.8765e-21
2.0077,-0.096167,7.5061e-18,0.8,-0.8,0,5.8765e-21
1.9158,-0.0042426,1.4136e-18,0.8,-0.8,0,5.8765e-21
2.0098,-0.094045,-0.0051962,0.8,-0.8,0,5.8765e-21
1.9179,-0.0021213,-0.0051962,0.8,-0.8,0,5.8765e-21
2.014,-0.089803,-0.0051962,0.8,-0.8,0,5.8765e-21
1.9221,0.0021213,-0.0051962,0.8,-0.8,0,5.8765e-21
2.0162,-0.087681,5.4136e-18,0.8,-0.8,0,5.8765e-21
2.014,-0.089803,0.0051962,0.8,-0.8,0,5.8765e-21
2.0098,-0.094045,0.0051962,0.8,-0.8,0,5.8765e-21
2.0077,-0.096167,7.5061e-18,0.8,-0.8,0,5.8765e-21
2.0098,-0.094045,-0.0051962,0.8,-0.8,0,5.8765e-21
2.014,-0.089803,-0.0051962,0.8,-0.8,0,5.8765e-21
1.9221,0.0021213,-0.0051962,0.8,-0.8,0,5.8765e-21
1.9179,-0.0021213,-0.0051962,0.8,-0.8,0,5.8765e-21
1.9158,-0.0042426,1.4136e-18,0.8,-0.8,0,5.8765e-21
1.9179,-0.0021213,0.0051962,0.8,-0.8,0,5.8765e-21
1.9221,0.0021213,0.0051962,0.8,-0.8,0,5.8765e-21
1.9242,0.0042426,-6.7886e-19,0.8,-0.8,0,5.8765e-21
2.0614,-0.14142,9.373e-18,0.8,-0.8,0,5.8765e-21
1.9978,-0.10607,8.3553e-18,0.8,-0.8,0,5.8765e-21
2.0049,-0.098995,-0.017321,0.8,-0.8,0,5.8765e-21
2.019,-0.084853,-0.017321,0.8,-0.8,0,5.8765e-21
2.0261,-0.077782,1.3803e-18,0.8,-0.8,0,5.8765e-21
2.019,-0.084853,0.017321,0.8,-0.8,0,5.8765e-21
2.0049,-0.098995,0.017321,0.8,-0.8,0,5.8765e-21
2.3362,-0.087681,5.4136e-18,0.8,-0.8,0,-8.3803e-20
2.2442,0.0042426,-6.7886e-19,0.8,-0.8,0,-8.3803e-20
2.334,-0.089803,0.0051962,0.8,-0.8,0,-8.3803e-20
2.2421,0.0021213,0.0051962,0.8,-0.8,0,-8.3803e-20
2.3298,-0.094045,0.0051962,0.8,-0.8,0,-8.3803e-20
2.2379,-0.0021213,0.0051962,0.8,-0.8,0,-8.3803e-20
2.3277,-0.096167,7.5061e-18,0.8,-0.8,0,-8.3803e-20
2.2358,-0.0042426,1.4136e-18,0.8,-0.8,0,-8.3803e-20
2.3298,-0.094045,-0.0051962,0.8,-0.8,0,-8.3803e-20
2.2379,-0.0021213,-0.0051962,0.8,-0.8,0,-8.3803e-20
2.334,-0.089803,-0.0051962,0.8,-0.8,0,-8.3803e-20
2.2421,0.0021213,-0.0051962,0.8,-0.8,0,-8.3803e-20
2.3362,-0.087681,5.4136e-18,0.8,-0.8,0,-8.3803e-20
2.334,-0.089803,0.0051962,0.8,-0.8,0,-8.3803e-20
2.3298,-0.094045,0.0051962,0.8,-0.8,0,-8.3803e-20
2.3277,-0.096167,7.5061e-18,0.8,-0.8,0,-8.3803e-20
2.3298,-0.094045,-0.0051962,0.8,-0.8,0,-8.3803e-20
2.334,-0.089803,-0.0051962,0.8,-0.8,0,-8.3803e-20
2.2421,0.0021213,-0.0051962,0.8,-0.8,0,-8.3803e-20
2.2379,-0.0021213,-0.0051962,0.8,-0.8,0,-8.3803e-20
2.2358,-0.0042426,1.4136e-18,0.8,-0.8,0,-8.3803e-20
2.2379,-0.0021213,0.0051962,0.8,-0.8,0,-8.3803e-20
2.2421,0.0021213,0.0051962,0.8,-0.8,0,-8.3803e-20
2.2442,0.0042426,-6.7886e-19,0.8,-0.8,0,-8.3803e-20
2.3814,-0.14142,9.373e-18,0.8,-0.8,0,-8.3803e-20
2.3178,-0.10607,8.3553e-18,0.8,-0.8,0,-8.3803e-20
2.3249,-0.098995,-0.017321,0.8,-0.8,0,-8.3803e-20
2.339,-0.084853,-0.017321,0.8,-0.8,0,-8.3803e-20
2.3461,-0.077782,1.3803e-18,0.8,-0.8,0,-8.3803e-20
2.339,-0.084853,0.017321,0.8,-0.8,0,-8.3803e-20
2.3249,-0.098995,0.017321,0.8,-0.8,0,-8.3803e-20
2.6562,-0.087681,5.4136e-18,0.8,-0.8,0,1.5438e-19
2.5642,0.0042426,-6.7886e-19,0.8,-0.8,0,1.5438e-19
2.654,-0.089803,0.0051962,0.8,-0.8,0,1.5438e-19
2.5621,0.0021213,0.0051962,0.8,-0.8,0,1.5438e-19
2.6498,-0.094045,0.0051962,0.8,-0.8,0,1.5438e-19
2.5579,-0.0021213,0.0051962,0.8,-0.8,0,1.5438e-19
2.6477,-0.096167,7.5061e-18,0.8,-0.8,0,1.5438e-19
2.5558,-0.0042426,1.4136e-18,0.8,-0.8,0,1.5438e-19
2.6498,-0.094045,-0.0051962,0.8,-0.8,0,1.5438e-19
2.5579,-0.0021213,-0.0051962,0.8,-0.8,0,1.5438e-19
2.654,-0.089803,-0.0051962,0.8,-0.8,0,1.5438e-19
2.5621,0.0021213,-0.0051962,0.8,-0.8,0,1.5438e-19
2.6562,-0.087681,5.4136e-18,0.8,-0.8,0,1.5438e-19
2.654,-0.089803,0.0051962,0.8,-0.8,0,1.5438e-19
2.6498,-0.094045,0.0051962,0.8,-0.8,0,1.5438e-19
2.6477,-0.096167,7.5061e-18,0.8,-0.8,0,1.5438e-19
2.6498,-0.094045,-0.0051962,0.8,-0.8,0,1.5438e-19
2.654,-0.089803,-0.0051962,0.8,-0.8,0,1.5438e-19
2.5621,0.0021213,-0.0051962,0.8,-0.8,0,1.5438e-19
2.5579,-0.0021213,-0.0051962,0.8,-0.8,0,1.5438e-19
2.5558,-0.0042426,1.4136e-18,0.8,-0.8,0,1.5438e-19
2.5579,-0.0021213,0.0051962,0.8,-0.8,0,1.5438e-19
2.5621,0.0021213,0.0051962,0.8,-0.8,0,1.5438e-19
2.5642,0.0042426,-6.7886e-19,0.8,-0.8,0,1.5438e-19
2.7014,-0.14142,9.373e-18,0.8,-0.8,0,1.5438e-19
2.6378,-0.10607,8.3553e-18,0.8,-0.8,0,1.5438e-19
2.6449,-0.098995,-0.017321,0.8,-0.8,0,1.5438e-19
2.659,-0.084853,-0.017321,0.8,-0.8,0,1.5438e-19
2.6661,-0.077782,1.3803e-18,0.8,-0.8,0,1.5438e-19
2.659,-0.084853,0.017321,0.8,-0.8,0,1.5438e-19
2.6449,-0.098995,0.017321,0.8,-0.8,0,1.5438e-19
2.9762,-0.087681,5.4136e-18,0.8,-0.8,0,-9.3572e-19
2.8842,0.0042426,-6.7886e-19,0.8,-0.8,0,-9.3572e-19
2.974,-0.089803,0.0051962,0.8,-0.8,0,-9.3572e-19
2.8821,0.0021213,0.0051962,0.8,-0.8,0,-9.3572e-19
2.9698,-0.094045,0.0051962,0.8,-0.8,0,-9.3572e-19
2.8779,-0.0021213,0.0051962,0.8,-0.8,0,-9.3572e-19
2.9677,-0.096167,7.5061e-18,0.8,-0.8,0,-9.3572e-19
2.8758,-0.0042426,1.4136e-18,0.8,-0.8,0,-9.3572e-19
2.9698,-0.094045,-0.0051962,0.8,-0.8,0,-9.3572e-19
2.8779,-0.0021213,-0.0051962,0.8,-0.8,0,-9.3572e-19
2.974,-0.089803,-0.0051962,0.8,-0.8,0,-9.3572e-19
2.8821,0.0021213,-0.0051962,0.8,-0.8,0,-9.3572e-19
2.9762,-0.087681,5.4136e-18,0.8,-0.8,0,-9.3572e-19
2.974,-0.089803,0.0051962,0.8,-0.8,0,-9.3572e-19
2.9698,-0.094045,0.0051962,0.8,-0.8,0,-9.3572e-19
2.9677,-0.096167,7.5061e-18,0.8,-0.8,0,-9.3572e-19
2.9698,-0.094045,-0.0051962,0.8,-0.8,0,-9.3572e-19
2.974,-0.089803,-0.0051962,0.8,-0.8,0,-9.3572e-19
2.8821,0.0021213,-0.0051962,0.8,-0.8,0,-9.3572e-19
2.8779,-0.0021213,-0.0051962,0.8,-0.8,0,-9.3572e-19
2.8758,-0.0042426,1.4136e-18,0.8,-0.8,0,-9.3572e-19
2.8779,-0.0021213,0.0051962,0.8,-0.8,0,-9.3572e-19
2.8821,0.0021213,0.0051962,0.8,-0.8,0,-9.3572e-19
2.8842,0.0042426,-6.7886e-19,0.8,-0.8,0,-9.3572e-19
3.0214,-0.14142,9.373e-18,0.8,-0.8,0,-9.3572e-19
2.9578,-0.10607,8.3553e-18,0.8,-0.8,0,-9.3572e-19
2.9649,-0.098995,-0.017321,0.8,-0.8,0,-9.3572e-19
2.979,-0.084853,-0.017321,0.8,-0.8,0,-9.3572e-19
